IGS v,1.10
DDF Path,C:\FLIT_VOIC\5914\5914_1606251.DDF
OFP Software Part Number,5539950401
Aircraft Type,EMB-314
Aircraft Serial Number,A29B 5914
Recorder Serial Number,0000120
DECOMP:,5522252701,Creator:,5531701101,CDF:,1606251620,DDF:,17-JUN-25,13:25:15
--------------------------------------------------------------------------------
Rec #,TIME,ACTYPE,AC_SN,ACTN,VADR_SN,ENG_SN,OFP_PN,CP_PN,FLT_CNT,STIME
,HH:MM:SS.FFF,ASCII,ASCII,ASCII,ASCII,ASCII,ASCII,ASCII,NA,
0,00:00:02.313,EMB-314           ,31400018  ,A29B 5914 ,0000120   ,RS0017  ,5539950401,5539960201,2004,00000151
1,00:15:02.563,EMB-314           ,31400018  ,A29B 5914 ,0000120   ,RS0017  ,5539950401,5539960201,2004,0002C0B0
2,00:30:02.813,EMB-314           ,31400018  ,A29B 5914 ,0000120   ,RS0017  ,5539950401,5539960201,2004,00058018
3,00:45:03.063,EMB-314           ,31400018  ,A29B 5914 ,0000120   ,RS0017  ,5539950401,5539960201,2004,00083F83
4,01:00:03.313,EMB-314           ,31400018  ,A29B 5914 ,0000120   ,RS0017  ,5539950401,5539960201,2004,000AFEE8
5,01:15:03.563,EMB-314           ,31400018  ,A29B 5914 ,0000120   ,RS0017  ,5539950401,5539960201,2004,000DBE4E
6,01:30:03.813,EMB-314           ,31400018  ,A29B 5914 ,0000120   ,RS0017  ,5539950401,5539960201,2004,00107DB6
7,01:45:04.063,EMB-314           ,31400018  ,A29B 5914 ,0000120   ,RS0017  ,5539950401,5539960201,2004,00133D22
8,02:00:04.313,EMB-314           ,31400018  ,A29B 5914 ,0000120   ,RS0017  ,5539950401,5539960201,2004,0015FC86
